transaction_id,date,amount,pokemon_id
4cbd033d-332c-4f74-a0a7-2f46073d63f0,4/21/2023,46,30
5b9d35ef-382b-4fec-af93-12bae679b5ab,6/22/2023,36,493
b92f673e-b90e-43f3-ad80-bafa586016f7,6/6/2023,37,368
71e49dc9-3065-4c43-b83b-06c5bfe1fafa,6/8/2023,15,251
a3a94532-ba5c-407a-9e75-4142a562fe87,5/7/2023,100,431
6561b22d-8f93-4321-b064-7d50c96d197c,5/25/2023,86,172
260344d5-9568-4124-b3f7-5905279a58f5,5/25/2023,76,754
84751c0a-3f89-47ef-9ca7-3a2a9b822d18,6/17/2023,42,755
a683a563-6a3c-42c1-8913-f475ad3540dd,5/9/2023,25,158
642b201a-4814-414b-acb6-0b6a514ae814,5/28/2023,75,23
4a5eb5f2-1daf-4374-88f3-75e8cc957a22,5/16/2023,96,34
18aff23f-70f6-4e1b-9f43-5c4f50ade11c,5/11/2023,40,544
e78fc304-3fe0-43fb-906d-35b749fd8f30,5/18/2023,73,779
72a69cdc-f7f1-4b6a-bb80-add57862263b,5/12/2023,12,798
ca623a1e-2a56-4b9b-bfe4-4ebe82b266de,4/6/2023,54,449
10a54049-9435-4766-ad36-5c4090eec441,6/27/2023,92,764
959f53e3-e67f-4d37-a426-251bcf1d2366,5/13/2023,50,644
a285462b-d093-4bf0-89b0-e2984a81f684,5/30/2023,84,467
6a1da1d4-3b38-4569-9806-8e0274db703d,5/10/2023,42,650
5e00181a-3731-40b4-a373-2f5baa56c613,4/16/2023,95,717
2ea98be2-874f-41f9-a9ac-a36cd11660c0,4/1/2023,36,382
d5f6f8d7-47e1-45d4-848a-5f82040b6bd9,5/25/2023,99,790
e0f97fb1-151b-47f4-bd0b-7ed9207beb14,6/17/2023,92,759
6cfb759e-fa53-46c1-a021-6720bcf18218,4/3/2023,37,106
982866b1-ed80-4e23-afe0-75399c7453a7,6/1/2023,20,382
63ab83e6-3475-456b-995c-1e1e7f9183a8,5/25/2023,68,330
0c523912-45fd-4e6b-9691-14b327c4e9c5,4/21/2023,71,496
4639d839-c40e-4ac4-aa80-5cd409694763,4/8/2023,80,371
86b71a59-b941-470a-a094-995d74c45656,4/23/2023,69,289
1b5fcfd0-3a97-4361-acfe-1d18ff22693b,5/26/2023,5,422
3ff54bf4-a330-4f88-9207-5b2b75b37477,5/20/2023,36,788
6e5006d4-33ab-46d0-895d-0c766880af36,5/25/2023,42,744
b7e7ebff-07e1-40df-931b-e7f3dd408f3c,5/20/2023,31,344
0931a349-bfdd-4629-a7d3-9b4241aad35e,5/3/2023,20,410
4c063f79-d70a-4c6a-8423-d23ccb1202c7,6/28/2023,87,526
d57752e3-7870-4ebe-bd98-4b520b503602,4/9/2023,19,374
38c5919d-4cfd-4a17-8e8b-46f8842054e7,4/9/2023,51,762
b33a884a-497f-4d4a-b6c0-92ab1f3d8a59,4/23/2023,51,147
32aeb571-5f46-4cb0-b525-43173d4d2287,4/9/2023,48,584
847a8dfc-8d41-4cc3-aeab-e0ead8beb17c,6/4/2023,13,371
5456383f-0fd2-4852-96b2-b5ca53d164da,5/4/2023,61,476
4871e0f3-6938-4eaa-83fc-39d03d2b050e,6/28/2023,15,174
2f596f37-2f59-4749-b4a0-5ac8d62ac0f8,5/17/2023,95,349
6be25e1c-b87f-43dd-aafc-9a15eea6ec7a,6/2/2023,97,724
b3806593-d74c-4349-bc1f-4351de035fda,6/24/2023,44,100
d3efb5f7-f18c-4c69-a0ba-3cf4699a3b5d,5/29/2023,56,609
3265e6c3-e7c8-406e-8408-febfd8a7d50b,6/9/2023,83,580
f47bb112-6f57-4d60-8508-201fe0018e15,4/4/2023,18,480
17550e3d-5c33-42c2-8985-5262634bc67c,5/14/2023,81,653
310aec73-1702-4126-a4c5-08668f6ee377,5/1/2023,47,97
759af7c6-917f-48be-af2f-af45902fc756,4/15/2023,74,250
731fe724-12fa-4a1e-aeac-249ba47a928d,5/15/2023,64,228
9ef7aa47-0bee-4d1b-b04f-076c23a34798,5/17/2023,46,336
cf1dbbaa-c658-4b32-a115-b04c9bf42eb1,4/15/2023,90,304
1ac9c766-6316-426a-9a34-f4a54045fd75,5/18/2023,19,789
b0ade7c9-200e-417d-9350-12cfe25c09f3,4/3/2023,71,123
85deab3e-3809-4c13-bd74-f0eb13b99065,6/27/2023,10,420
146421f7-1ec2-4cb7-b89c-6675b590315f,6/19/2023,36,451
df1e119c-214c-4147-8c50-0a40be847bd1,6/27/2023,70,78
1a53c4e8-59de-424b-8e7f-50b6b63a852d,5/10/2023,52,99
f58c0aaf-ec1e-4cfc-a050-cb1b7abad7b9,4/13/2023,69,573
5935ecaa-2f1e-4bf1-9212-0bb8db99315a,4/2/2023,47,613
fc51dbb1-08c3-4f5a-baee-8c0a74f58857,6/22/2023,24,158
