transaction_id,date,amount,pokemon_id
d7b7ed19-f6e6-4964-bf13-88fe78897826,9/18/2023,27,520
313cbfaf-7ec1-42bf-ad64-aa8eac54ebbb,7/28/2023,61,31
d4905ccb-1cb1-4bdf-bb4f-e9cfb1a90ce1,8/26/2023,61,570
a258df5d-239e-4410-90c2-c202ad22e705,9/2/2023,86,776
154e64cb-d215-4395-a522-d5ab74dac171,7/12/2023,91,177
8a96f627-72eb-4e0c-804c-8d4f108e9420,8/12/2023,27,128
e9bba531-982f-4bc6-99a7-fb4be8a26249,7/1/2023,90,29
cc57453c-55ad-4e34-ba69-15f985b0104b,8/26/2023,74,795
7ea3a4ba-28a3-4c39-a955-1207d492f2e9,7/13/2023,20,654
32aa8608-9936-498f-899e-afdc3f9ebf60,8/21/2023,75,410
802a8077-7558-49a9-a6c5-f3dd862ad857,8/25/2023,43,315
ee34d4f6-3238-4cbe-a623-328f0f31ddda,8/31/2023,57,285
32a9b61c-ed02-4dd8-83b3-6add80637e9d,7/10/2023,69,582
5db22d55-7363-43d5-8f0a-cfdf554eab46,7/9/2023,73,9
87500210-2485-4eca-a07b-f71a94965820,9/26/2023,66,565
ca179e6a-a6de-4250-81da-250187dcdd93,9/22/2023,89,608
7749f0dd-e7b8-4833-8fab-80d3e5fcb413,7/8/2023,33,417
f3597260-a726-4baf-aeab-dc9cedde8c17,8/3/2023,93,6
0639beb0-bcb2-4fb7-bed0-ce6cd4528d17,9/17/2023,26,676
9d12c9aa-335e-455d-85e0-76e4afb01335,9/2/2023,5,610
34469dca-7a37-4b7b-8668-291f1a6d8f79,9/20/2023,83,524
804882d1-ed8e-4d63-a38d-cd3b9a9fcc76,8/7/2023,58,502
2fdfa935-952b-47da-8872-4628e7011a03,7/13/2023,28,235
286d67ca-08f8-4ed9-975f-dafbc54ba32f,9/4/2023,46,537
42d53366-341e-4979-ba2a-c492dc410e69,7/26/2023,81,521
1d07ea42-a7db-4de8-95e9-35df63a0bb9b,7/11/2023,65,163
fab9d3c6-7cb3-49c7-8351-3b8099648881,9/20/2023,75,464
297428b3-af27-49a5-b791-b41c554c7f77,9/6/2023,32,252
8642793f-d15e-40c3-b033-9d8877d732d7,9/20/2023,63,337
a3cf6570-2b37-45a0-bfb6-bfcde9486977,7/29/2023,90,30
a21bc3db-a19e-43dc-83bd-2f8059493c73,9/11/2023,67,741
a44bab9b-10be-45a9-9b75-427a26b59a97,9/1/2023,67,806
01a29afe-555e-430f-8868-c5752943fe12,8/13/2023,30,221
004af6f5-6f46-4de8-80cd-5192affbb1b3,9/23/2023,9,748
de465c43-7e2f-4c52-ba7a-c66f940031fa,7/5/2023,45,10
95e09a0b-ce73-4100-8000-14c9edc559ec,9/18/2023,26,33
05a6b6ba-5634-4e45-8513-1af88e587d94,9/21/2023,93,803
ea3249d2-965c-4d6e-b371-375d5aeac149,7/29/2023,49,680
275b4555-c36e-4ce2-a215-af9e7a9bfd3b,7/19/2023,61,541
73d3ba6c-e06f-4afd-a8f3-86e393fd41e4,9/18/2023,50,39
2eb218d9-ec33-4f49-9012-7444e3136d3b,9/19/2023,29,761
817fcede-e020-4d15-a796-c6d22045d95d,7/11/2023,89,398
3fb38614-4af3-4f06-a76f-94906bf21cf0,9/2/2023,69,337
ba60dc9c-c21e-4734-aae9-6586e21f139b,8/24/2023,48,187
ea9d6e33-02d8-41e6-b28d-8102d47a2953,7/26/2023,99,55
a8fde194-ca2a-4306-a1f1-e2936bfe1e48,9/12/2023,30,105
bfbde905-fa3e-401e-9552-d8fb56e8184e,8/14/2023,25,691
9bf40f31-cf2b-4c20-8880-15d43152440c,8/31/2023,91,673
2aaa97a4-a0cb-4c84-b3bf-afeebe744bf6,9/11/2023,98,81
89180e7e-46a3-42e2-8214-0fba30ddf6ca,9/8/2023,77,628
0600b78c-89cd-45d6-a109-89e9ecdf148e,7/11/2023,11,446
9c11b4f6-145a-49e6-a170-4b0838326d89,7/18/2023,23,200
7a336a7a-59e3-4a97-96f7-4ac56ab9896d,7/19/2023,24,288
d53b39da-aa27-4137-8b43-f2ea8b0e81b3,9/27/2023,67,196
d81ef8ba-ee3d-4756-ac56-b397db637a53,9/12/2023,10,546
72fabdf1-fe0a-41e6-892f-624c40c6886a,9/14/2023,58,468
32ad9daf-8a07-4bbf-b331-8f2d158162c6,7/27/2023,5,684
c89b5863-5e6d-4f5d-9c81-03c3146f51c0,8/14/2023,73,10
3a393cc0-d49f-42f2-a1d9-f468a7f17be8,9/26/2023,81,23
bab6e119-a7e1-4314-8e68-b5fef1fce3ac,8/14/2023,58,161
029176ab-6772-4460-a78e-d8f0a1ee50d1,9/16/2023,96,687
e32069da-b6b7-4df9-b236-634d868dea31,9/20/2023,25,567
e279bfff-eb6b-47f5-bb02-0ea49eee74fe,8/2/2023,61,632
7ef350c9-3b0b-460b-a8a8-2f4f405b9df4,8/25/2023,94,514
e577891a-4430-475c-a691-e4f5b1e141c0,7/10/2023,74,14
b207886c-0890-42e9-817c-3a5d25db5b52,8/15/2023,25,630
3c9ca3a6-b58e-4bed-afd2-67e129c9ddf6,9/19/2023,75,756
07a4abb3-0e5f-4562-ad4d-6b213aaafd1b,9/20/2023,94,46
16fcdaeb-5381-417f-9b24-3b6497cdfb18,9/12/2023,26,126
706e2470-b4b5-4446-a970-5da21d142c94,7/5/2023,44,441
d66dcb17-97b9-4e79-bef3-51e21e44ea09,8/27/2023,87,177
22107e56-e3c1-429a-b47e-4ac1ac68a6c8,9/21/2023,83,315
d4d6e93f-e2b3-443f-a14f-05b2a1c3bcf8,8/14/2023,32,21
06d784ed-e385-4f2a-b8d8-d3c2f959ea9f,9/12/2023,84,293
462fd1b8-8ca0-480f-a205-febeb32fe759,7/16/2023,48,359
5efad5e6-c1d4-4e55-8d4e-97e0bacfe280,7/28/2023,54,379
