transaction_id,date,amount,account_id,type
3ff6520b-d554-48a4-b9d3-5a635d049b6a,7/19/2023,9148,40361600-9480-4a8d-b5dd-0fcf1cc88d3c,administration-fee
744e5336-94c9-48b4-8ab8-31b85bb3f71a,6/11/2023,9477,a42d76de-0301-42a8-81f3-ac5a1ccee153,other_fee
c55ee2e1-648f-47c8-9116-f5b872afea59,8/10/2023,4913,2fae9116-896d-46f3-8337-b57d8e149e66,other_fee
2f9210cb-cef5-43f0-bc35-e57ddaada914,7/19/2023,6127,71464ff8-2e0d-4fa8-a599-e347dd0be2fe,administration-fee
6b623780-558c-464d-b6a0-14a0dbc53c57,6/20/2023,6578,3e96b076-7208-4fb8-acff-d9c9aef491d6,withdrawal_random
7724aeef-9eb6-46af-9794-0c7416492053,8/13/2023,7356,40361600-9480-4a8d-b5dd-0fcf1cc88d3c,deposit
cecf3e76-3ce9-4dcf-95d4-bc231190823b,10/3/2023,709,6cda2c5c-e770-4c1c-b2c0-5e299ad6a982,deposit
9009c615-d340-4ac5-904e-3aacdb6d903b,9/20/2023,2726,f7ad0f2a-e28d-4308-a90f-ec8b49759344,deposit992348
38621162-ff7e-47d8-b1f5-7fe937d2e59d,7/13/2023,9757,879b08c2-796a-4092-b987-c234cd13b921,other
b7548d8b-1d7f-4a9e-bd60-3fc522c1467a,9/6/2023,9227,3eb477ef-ed67-4dd2-afd4-24a6114038cc,fee_fraud
7a1f7a94-4a44-4dbc-a281-69da5ebb3ad4,7/29/2023,2077,9377a763-a283-4ca8-99b0-d06038be15f7,other
a4f8b6de-f06e-4a78-ad41-94e708d269ad,9/22/2023,3946,40361600-9480-4a8d-b5dd-0fcf1cc88d3c,deposit_random
3ac414a1-10ab-46d7-b541-c124d99313ab,9/6/2023,5650,5e63eaef-81c3-47b4-a939-7810c57e8601,fee_fraud
ad6cee1f-fa32-4e6a-9716-208e0fabc2d6,9/16/2023,7556,acc7bd23-c436-4228-a49a-9fb1f6357c32,fee
7d729ab2-3203-46b8-95ad-ed0ad1ceb789,7/3/2023,2129,f936bb04-e683-4d70-81f4-aa4e77a790d9,fee_fraud
501ba9dd-59f1-4180-a96b-844b07377af8,9/7/2023,2898,e64bdb05-a6bc-4ac9-b8fa-9d456ff92bd7,service-fee
92e87a47-9e03-4e48-a41c-72136ffaf80e,10/3/2023,7575,dfa198b4-24bd-42d0-86dd-ded418be0a33,xxx9438-withdrawal
