transaction_id,date,amount,account_id,type
a7a08c5e-3149-43f0-aba2-3b9420988ae5,2/19/2023,8159,7e4a4b18-a2cd-46c7-83a8-e7a1f5e4eedb,xxx9438-withdrawal
e30ad844-27de-4764-951e-7bbf085f57dd,2/16/2023,4282,dfd4b130-3646-4739-b199-9bb097ce112b,service-fee
9b4b1ea3-c9c2-4e6e-9ae8-50b890655d4b,1/28/2023,5594,3e54b5d3-93cd-44cd-8ae4-880f0dd70697,administration-fee
202bf8da-12d8-4d90-9489-ffec933776d7,3/8/2023,2703,4ab16856-d09f-4db9-8787-6b733b40a4bd,094390=deposit
89f060c1-6d68-4755-85c6-b4cc143ed21d,5/25/2023,8494,ae60770f-69bb-4e8d-ad12-6473a7ddeedf,fee
4262b7ec-99ec-4fbd-8634-e63f032ea5c7,5/24/2023,2800,6338ed0b-eac4-4edc-aed6-7b36a82a6e1f,withdrawal
67c6c87a-8a6f-41ef-aad4-76e98f9ae7df,2/6/2023,3738,1c00b842-801a-4fb3-8b75-055f234a5f5a,fee_fraud
964b64fb-cde6-4998-978c-5281d02138e1,4/28/2023,4731,5e63eaef-81c3-47b4-a939-7810c57e8601,deposit_random
838732f0-6bf7-4f10-9d6f-697d642da912,1/29/2023,5683,21d1c76c-55e0-4d83-a740-cb096198bb7c,fee_fraud
6f459baf-6cb4-4549-a253-1493b2b63fc9,2/28/2023,1772,95fd05e9-402b-422c-a334-5797130100dd,other
72b4e00b-f640-4428-9d16-0150e8dac791,1/9/2023,6564,d35b599b-6885-43f3-a560-45f0aed3a601,xxx9438-withdrawal
1cf6b284-78a9-46a0-a193-58d37ddb395b,2/18/2023,1844,2fae9116-896d-46f3-8337-b57d8e149e66,other_fee
07e8be84-87a4-49a4-8927-52fb5964ba28,3/29/2023,5920,78f08b3a-a5cd-4fb0-96e3-4fd3c4db4ae9,xxx9438-withdrawal
b7d433bf-b481-4754-91c6-108eab448ad2,2/27/2023,5933,eb74ab57-65e8-4e3a-bbef-e57460b7734f,other_fee
059a23ac-b7af-4a12-bd6a-50649c2a9a78,4/20/2023,318,1185b27a-c7af-4882-a67b-23ae467fd8f5,094390=deposit
c8a4916c-7530-488e-b0e7-ad8d73aa377b,3/19/2023,9924,21d1c76c-55e0-4d83-a740-cb096198bb7c,fee_fraud
e785f4de-29c4-47f5-9ee4-9e6b66df92c1,5/12/2023,5107,a42d76de-0301-42a8-81f3-ac5a1ccee153,fee
7aed4ab0-699d-48b3-903c-1b642d6e58e0,4/26/2023,8100,aab2407f-70c8-4fde-8722-2949822d7f8f,other_fee
d1a7888d-1573-434f-b898-d5398d3d2e53,2/3/2023,6405,1bbbd71b-1170-4f4d-8b20-87e32162e044,withdrawal_random
e9edc426-a519-457d-8834-166867faca25,1/29/2023,1825,5e5d942e-a734-4d76-9302-4fbaf5c8c913,withdrawal_random
5a8a03cd-036a-4a83-924e-87e7d5bf18b2,2/3/2023,4041,dfd4b130-3646-4739-b199-9bb097ce112b,fee_fraud
f456f804-c784-412b-8bdb-f75bd806a11b,4/18/2023,6424,a84c7c25-a066-4479-b59a-309d6d2b8474,service-fee
431de91b-e6c1-4665-8a54-c39f83a5371f,2/20/2023,8196,43dfff46-1886-4d85-9434-47b30c9231d9,deposit
432293b7-aac0-44c8-99f2-70a47e87644b,1/1/2023,2469,f7ad0f2a-e28d-4308-a90f-ec8b49759344,other_fee
bd228e13-1bac-42f1-bfb5-973c5dc4eaca,5/11/2023,5900,1337bbf2-bfec-41dc-b409-e1c7c58c4d42,administration-fee
178e6081-ed76-42d9-9d8f-b0866aa3e972,5/27/2023,2515,f3ecc59d-b049-49ac-b892-ca0b02384d67,withdrawal
f49e5736-ff45-40a2-8890-c05e0a9b76b8,2/26/2023,5900,879b08c2-796a-4092-b987-c234cd13b921,administration-fee
1b10e812-d4c0-41c9-862a-df8b0d981692,3/12/2023,9547,2906cecf-b6c8-471e-9b7e-0a597ee8568a,fee_fraud
c066a431-8145-4e15-be1a-16eb7df5fd70,3/12/2023,8870,1d114f73-67ed-43ae-9533-d02d7307c099,fee
78240a99-399b-4b3d-b99d-b7a9a882b1ae,2/1/2023,9640,45e9c335-7b52-43a5-8c7a-1dec2bacdfc2,094390=deposit
404435f9-a2db-40be-a4bf-0a6b77b7ce5c,5/7/2023,4760,d6d898a4-93e8-42c8-8fcb-a6b0ded70a15,other_fee
1980aa98-4d8a-4a65-b79a-da4cce211f40,5/28/2023,7991,0da282ca-1817-4309-a708-febd3f303e84,fee
ca2bb116-e77c-4d57-a751-411aa3729235,3/2/2023,6022,5e63eaef-81c3-47b4-a939-7810c57e8601,094390=deposit
53dba6ce-4ccd-4215-ae00-a4121cecccda,2/15/2023,9939,dcd28fb1-ecc5-4cea-8770-d71a77268323,xxx9438-withdrawal
4fef2fe3-9ad8-473f-a6cf-e373042e99d3,3/20/2023,8635,dfd4b130-3646-4739-b199-9bb097ce112b,deposit992348
50d8695f-8c26-471c-a545-c11b749e1c22,3/13/2023,1770,bfb5c30e-4b2d-4bd3-972d-624ebc86f3e8,other_fee
aa869924-06a8-4352-9b1e-d28ca0faa2e9,3/18/2023,6866,c10a4fba-f7c1-4861-9265-420e434d51ac,withdrawal
65b54071-d158-4055-9daf-d11cb9cfbc1e,4/24/2023,6457,3876c816-fc10-413b-8258-6b42f1737ad2,fee
86f54c3a-44b7-42b5-895a-e710804b5c08,1/31/2023,8215,2642a1c1-39cf-45b0-ac37-898690a2f833,deposit_random
b07c90ad-0afc-4b22-b7b3-870e42f2f0ee,3/16/2023,896,d6d898a4-93e8-42c8-8fcb-a6b0ded70a15,094390=deposit
9eda9701-6e3c-4d62-a520-2d08b9d15a13,5/22/2023,7075,dfd4b130-3646-4739-b199-9bb097ce112b,094390=deposit
370ccde2-c3a4-4716-be0e-171d5c20d36c,5/15/2023,6513,acedebc5-c3c8-4ed8-bf75-66af1f7c391c,withdrawal_random
1a3d37aa-2a18-4800-b709-82a90f57a596,3/16/2023,4460,6d3b41a7-31b3-45b4-813f-df0c2915c726,other_fee
